student_id,samples,avg_risk,max_risk,final_label,image_path,image_captured_at_ms
1,153,0.0001,0.0019,Normal,student_images/student_1.jpg,1778528919828
2,155,0.0014,0.0485,Normal,student_images/student_2.jpg,1778528940529
6,11,0.0645,0.2500,Normal,student_images/student_6.jpg,1778528938443
